window_id,experimental_day,condition,infected,infection_days,label,readings_in_window,source_row_start,source_row_end,timestamp_start_ms,timestamp_end_ms,temperature_c_mean,temperature_c_std,temperature_c_min,temperature_c_max,temperature_c_range,temperature_c_slope,humidity_pct_mean,humidity_pct_std,humidity_pct_min,humidity_pct_max,humidity_pct_range,humidity_pct_slope,pressure_pa_mean,pressure_pa_std,pressure_pa_min,pressure_pa_max,pressure_pa_range,pressure_pa_slope,gas_resistance_ohm_mean,gas_resistance_ohm_std,gas_resistance_ohm_min,gas_resistance_ohm_max,gas_resistance_ohm_range,gas_resistance_ohm_slope,sraw_mean,sraw_std,sraw_min,sraw_max,sraw_range,sraw_slope,sraw_per_humidity_mean,gas_per_humidity_mean,sraw_gas_ratio_mean
WIN-021,3,diseased,1,3,infected_day_3,5,154,163,1816674,2837274,32.336,0.03322649545167134,32.27,32.36,0.0899999999999963,0.017999999999999898,48.986000000000004,0.44907015042195847,48.7,49.88,1.1799999999999997,-0.2020000000000036,97646.8,1.16619037896906,97646.0,97649.0,3.0,-0.7000000000031597,80732.2,20462.091871556047,67579.0,121464.0,53885.0,-11173.800000000008,29111.8,117.60170066797504,29052.0,29347.0,295.0,-58.90000000000236,594.31583992988,1644.4963245162398,0.378096855168753
WIN-022,3,diseased,1,3,infected_day_3,5,165,176,2838674,1150273,32.144,0.17636326148038856,32.0,32.36,0.35999999999999943,-0.10800000000000198,48.496,0.3470792416725619,48.19,48.95,0.7600000000000051,-0.21099999999999836,97609.0,30.21258016125071,97584.0,97646.0,62.0,-18.600000000002357,84063.6,15416.695477306414,64558.0,98645.0,34087.0,9702.499999999996,28863.6,157.50631733362317,28734.0,29057.0,323.0,-96.19999999999975,595.1821479070188,1735.7651294038574,0.3566631603686564
WIN-023,3,diseased,1,3,infected_day_3,5,178,187,1151673,1676673,31.991999999999997,0.0040000000000006255,31.99,32.0,0.010000000000001563,-0.0019999999999991236,48.424,0.12419339757008088,48.18,48.52,0.3400000000000034,0.04999999999999496,97579.8,2.1354156504062622,97578.0,97584.0,6.0,-1.200000000005037,88774.4,3120.755459820586,85260.0,94579.0,9319.0,-1047.700000000002,27964.2,387.30112315871224,27712.0,28735.0,1023.0,-173.60000000000116,577.5106759234523,1833.4457766459159,0.3152398393384674
WIN-024,4,diseased,1,4,infected_day_4,5,197,205,1657080,1662680,30.944,0.004898979485565382,30.94,30.95,0.00999999999999801,-0.002999999999999983,51.65599999999999,0.08114185110040416,51.58,51.81,0.23000000000000398,0.035999999999999796,97803.0,0.0,97803.0,97803.0,0.0,-7.970412225479468e-12,58337.0,2463.70460891723,53918.0,60808.0,6890.0,1218.7999999999968,28503.4,4.223742416388575,28498.0,28509.0,11.0,2.899999999998667,551.7939141389077,1129.3472210212315,0.48950276289820527
WIN-025,4,diseased,1,4,infected_day_4,5,207,217,1664080,1708880,30.976,0.03200000000000056,30.95,31.02,0.07000000000000028,0.018999999999996867,51.45399999999999,0.1857525235360197,51.25,51.76,0.509999999999998,-0.11600000000000106,97802.8,0.7483314773547882,97802.0,97804.0,2.0,-0.5000000000018773,62463.8,8258.504111520439,52367.0,73900.0,21533.0,-3479.3999999999987,28523.6,20.135540717845153,28497.0,28555.0,58.0,-6.900000000002394,554.3584887611202,1213.7763886128475,0.4647464832256956
WIN-026,4,diseased,1,4,infected_day_4,5,219,230,1710280,1717280,30.996,0.008000000000001251,30.99,31.01,0.020000000000003126,-0.005000000000001702,51.19799999999999,0.11872657663724702,51.0,51.32,0.3200000000000003,0.0030000000000025774,97803.4,0.4898979485566356,97803.0,97804.0,1.0,0.29999999999793825,59372.8,2377.3019496900265,55711.0,61978.0,6267.0,743.0000000000001,28466.8,15.263027222671132,28443.0,28487.0,44.0,-10.599999999999548,556.0170304286164,1159.7372983111497,0.48024796914407436
WIN-027,4,diseased,1,4,infected_day_4,5,232,242,1718680,1799880,30.99,0.008944271909998969,30.98,31.0,0.019999999999999574,0.004000000000000842,50.944,0.4140338150441336,50.38,51.32,0.9399999999999977,-0.2540000000000003,97803.4,0.8,97802.0,97804.0,2.0,-0.5000000000018773,72619.4,13237.594020062708,58719.0,90513.0,31794.0,7801.899999999995,28413.8,41.97808952298806,28350.0,28450.0,100.0,-26.00000000000131,557.7760587724658,1427.6809180268579,0.40399645160228326
WIN-028,4,diseased,1,4,infected_day_4,5,244,252,1801280,1809680,31.012,0.003999999999999204,31.01,31.02,0.00999999999999801,0.0019999999999978264,50.186,0.17419529270333364,49.99,50.45,0.46000000000000085,0.041999999999994576,97802.8,0.4,97802.0,97803.0,1.0,-2.6568040751598224e-12,84457.8,11069.296913535205,66665.0,95332.0,28667.0,-6610.199999999997,28323.4,11.892854997854805,28302.0,28334.0,32.0,2.399999999999447,564.3747196132946,1683.4971939457926,0.34176333405191006
WIN-029,4,diseased,1,4,infected_day_4,5,254,265,1811080,2221280,30.992,0.019390719429665637,30.98,31.03,0.05000000000000071,-0.011000000000004262,50.808,0.09368030742904249,50.63,50.89,0.259999999999998,0.03099999999999809,97799.4,1.3564659966250536,97798.0,97802.0,4.0,-0.8000000000051292,66269.0,1937.601403798005,62956.0,68744.0,5788.0,869.3999999999975,28503.4,88.49994350280683,28327.0,28559.0,232.0,47.699999999998305,561.0011440009387,1304.254845577238,0.430456327271305
WIN-030,4,diseased,1,4,infected_day_4,5,267,275,2222680,2228280,30.98,0.0,30.98,30.98,0.0,-2.594535229648264e-15,50.838,0.01720465053408464,50.82,50.87,0.04999999999999716,-0.006999999999999527,97798.0,0.0,97798.0,97798.0,0.0,-2.6568040751598224e-12,66232.0,1161.9039547225923,64458.0,67634.0,3176.0,567.1999999999915,28589.8,15.315351775261318,28568.0,28610.0,42.0,10.799999999998839,562.3707948219984,1302.8123834129606,0.4317921622684894
WIN-031,5,diseased,1,5,infected_day_5,5,279,287,1827880,1833480,31.008,0.011661903789690963,30.99,31.02,0.030000000000001137,-0.008000000000000387,50.44,0.027568097504181144,50.41,50.48,0.07000000000000028,0.006999999999996933,97801.0,0.0,97801.0,97801.0,0.0,2.6568040751598224e-12,77822.6,3056.0387824764266,72367.0,80895.0,8528.0,-1760.8999999999999,28374.6,12.435433245367852,28361.0,28391.0,30.0,0.19999999999796128,562.5416750921538,1542.8985162153592,0.3651921347295647
WIN-032,5,diseased,1,5,infected_day_5,5,289,300,1834880,1841880,30.968,0.011661903789690838,30.95,30.98,0.030000000000001137,-0.008000000000000387,50.294,0.09850888284819811,50.18,50.44,0.259999999999998,-0.04200000000000365,97802.2,0.7483314773547882,97801.0,97803.0,2.0,0.399999999997251,83528.6,5251.605682074769,75499.0,90123.0,14624.0,2005.7999999999959,28468.0,40.76763422127902,28409.0,28516.0,107.0,28.299999999999454,566.0350660902998,1661.015745313268,0.3421673128298638
WIN-033,5,diseased,1,5,infected_day_5,5,302,312,1843280,1848880,30.945999999999998,0.004898979485565382,30.94,30.95,0.00999999999999801,-0.0029999999999986856,50.518,0.06615134163416628,50.4,50.59,0.19000000000000483,0.02999999999999853,97804.4,0.4898979485566356,97804.0,97805.0,1.0,0.19999999999596868,79351.4,2530.9172724528157,76674.0,83642.0,6968.0,1073.5000000000055,28540.4,18.095303258028036,28519.0,28569.0,50.0,12.600000000000415,564.9558009358473,1570.772251820375,0.36002604556204865
WIN-034,5,diseased,1,5,infected_day_5,5,314,322,1850280,1855880,30.940000000000005,3.552713678800501e-15,30.94,30.94,0.0,-1.297267614824132e-15,50.324,0.08639444426581963,50.2,50.44,0.23999999999999488,-0.06100000000000311,97804.0,0.8944271909999159,97803.0,97805.0,2.0,-0.5000000000018773,87652.4,1292.1811947246408,86315.0,89449.0,3134.0,179.30000000000052,28594.0,16.211107303327555,28579.0,28621.0,42.0,10.699999999999527,568.2002768879458,1741.7746304278232,0.32629097712462457
WIN-035,5,diseased,1,5,infected_day_5,5,324,334,1857280,1869880,30.977999999999998,0.020396078054370496,30.94,31.0,0.05999999999999872,0.01300000000000079,50.958,0.3514199766660958,50.31,51.36,1.0499999999999972,0.09699999999999902,97802.2,1.16619037896906,97801.0,97804.0,3.0,-0.8000000000024724,64918.6,6127.294169533562,56961.0,75772.0,18811.0,-1402.9,28540.0,45.35636669752109,28510.0,28630.0,120.0,-20.10000000000068,560.1017495339768,1274.8540073591312,0.44332675411337286
WIN-036,5,diseased,1,5,infected_day_5,5,336,346,1871280,1920280,31.008,0.009797958971133374,30.99,31.02,0.030000000000001137,-0.0030000000000038746,50.862,0.09389355675444354,50.72,50.98,0.259999999999998,-0.007000000000007311,97801.8,0.7483314773547882,97801.0,97803.0,2.0,-0.4000000000025646,66463.0,5208.867055320187,56577.0,71381.0,14804.0,-1657.4000000000044,28532.4,2.33238075793812,28529.0,28536.0,7.0,-0.10000000000263375,560.9787547550144,1306.8950386192532,0.4322205850944159
WIN-037,5,diseased,1,5,infected_day_5,5,348,356,1921680,1927280,31.0,0.008944271910000558,30.99,31.01,0.020000000000003126,0.006000000000001263,50.738,0.10703270528207817,50.58,50.88,0.30000000000000426,-0.014000000000005541,97800.6,0.4898979485566356,97800.0,97801.0,1.0,-0.3000000000032519,61517.4,4534.0922619637995,56009.0,68407.0,12398.0,-1579.6000000000079,28537.4,10.384603988597735,28522.0,28548.0,26.0,7.099999999995706,562.4489579679682,1212.581715853276,0.46637961465357325
